URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
100048,202,3655,State-funded primary,292,162,130,55.5%,44.5%,9,3.1%,48,16.4%,132,160,0,45.2%,54.8%,0.0%,204,191,270,70.7%
100049,202,4104,State-funded secondary,982,423,559,43.1%,56.9%,28,2.9%,188,19.1%,565,411,6,57.5%,41.9%,0.6%,584,503,721,69.8%
100050,202,4166,State-funded secondary,1249,1187,62,95.0%,5.0%,16,1.3%,167,13.4%,426,820,3,34.1%,65.7%,0.2%,424,336,891,37.7%
100051,202,4196,State-funded secondary,1079,473,606,43.8%,56.2%,39,3.6%,193,17.9%,726,353,0,67.3%,32.7%,0.0%,666,595,904,65.8%
100052,202,4275,State-funded secondary,1319,638,681,48.4%,51.6%,38,2.9%,127,9.6%,502,817,0,38.1%,61.9%,0.0%,522,530,1033,51.3%
100053,202,4285,State-funded secondary,1163,398,765,34.2%,65.8%,87,7.5%,139,12.0%,275,820,68,23.6%,70.5%,5.8%,374,359,906,39.6%
100054,202,4611,State-funded secondary,1047,908,139,86.7%,13.3%,13,1.2%,115,11.0%,267,772,8,25.5%,73.7%,0.8%,208,181,597,30.3%
100055,202,4652,State-funded secondary,832,381,451,45.8%,54.2%,24,2.9%,93,11.2%,430,402,0,51.7%,48.3%,0.0%,404,402,706,56.9%
100056,202,4688,State-funded secondary,904,106,798,11.7%,88.3%,30,3.3%,149,16.5%,331,560,13,36.6%,61.9%,1.4%,336,294,610,48.2%
100059,202,5401,State-funded secondary,817,777,40,95.1%,4.9%,8,1.0%,70,8.6%,413,376,28,50.6%,46.0%,3.4%,241,243,569,42.7%
100061,202,6013,Independent school,250,250,0,100.0%,0.0%,1,0.4%,51,20.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100062,202,6014,Independent school,166,166,0,100.0%,0.0%,0,0.0%,22,13.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100063,202,6016,Independent school,185,185,0,100.0%,0.0%,1,0.5%,31,16.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100064,202,6017,Independent school,469,0,469,0.0%,100.0%,0,0.0%,100,21.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100065,202,6018,Independent school,1293,112,1181,8.7%,91.3%,2,0.2%,168,13.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100066,202,6038,Independent school,216,216,0,100.0%,0.0%,0,0.0%,77,35.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100067,202,6084,Independent school,204,204,0,100.0%,0.0%,4,2.0%,24,11.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100068,202,6174,Independent school,302,131,171,43.4%,56.6%,0,0.0%,52,17.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100069,202,6179,Independent school,172,0,172,0.0%,100.0%,1,0.6%,35,20.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100070,202,6181,Independent school,275,0,275,0.0%,100.0%,1,0.4%,75,27.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100073,202,6264,Independent school,388,151,237,38.9%,61.1%,0,0.0%,47,12.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100074,202,6269,Independent school,470,163,307,34.7%,65.3%,4,0.9%,46,9.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100075,202,6295,Independent school,169,73,96,43.2%,56.8%,0,0.0%,17,10.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100076,202,6307,Independent school,949,949,0,100.0%,0.0%,0,0.0%,98,10.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100077,202,6353,Independent school,68,62,6,91.2%,8.8%,0,0.0%,15,22.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100078,202,6360,Independent school,193,83,110,43.0%,57.0%,3,1.6%,40,20.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100080,202,6380,Independent school,561,204,357,36.4%,63.6%,1,0.2%,20,3.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100081,202,6384,Independent school,120,55,65,45.8%,54.2%,0,0.0%,5,4.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100082,202,6385,Independent school,691,310,381,44.9%,55.1%,1,0.1%,83,12.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100084,202,6387,Independent school,227,134,93,59.0%,41.0%,4,1.8%,80,35.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100087,202,6392,Independent school,195,96,99,49.2%,50.8%,0,0.0%,4,2.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100090,202,6395,Independent school,168,80,88,47.6%,52.4%,54,32.1%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100091,202,7008,State-funded special school,38,23,15,60.5%,39.5%,38,100.0%,0,0.0%,38,0,0,100.0%,0.0%,0.0%,18,17,32,53.1%
100092,202,7137,State-funded special school,41,8,33,19.5%,80.5%,41,100.0%,0,0.0%,5,36,0,12.2%,87.8%,0.0%,33,36,41,87.8%
100096,202,7205,State-funded special school,261,64,197,24.5%,75.5%,261,100.0%,0,0.0%,117,144,0,44.8%,55.2%,0.0%,135,122,223,54.7%
100097,203,1001,State-funded nursery,156,78,78,50.0%,50.0%,1,0.6%,25,16.0%,74,81,1,47.4%,51.9%,0.6%,22,0,0,0.0%
100098,203,1006,State-funded nursery,171,95,76,55.6%,44.4%,0,0.0%,57,33.3%,37,119,15,21.6%,69.6%,8.8%,35,0,0,0.0%
100099,203,1016,State-funded nursery,120,51,69,42.5%,57.5%,3,2.5%,23,19.2%,55,65,0,45.8%,54.2%,0.0%,21,0,0,0.0%
100102,203,1022,State-funded nursery,162,85,77,52.5%,47.5%,0,0.0%,24,14.8%,44,113,5,27.2%,69.8%,3.1%,30,0,0,0.0%
100103,203,1101,State-funded AP school,166,64,102,38.6%,61.4%,64,38.6%,101,60.8%,11,155,0,6.6%,93.4%,0.0%,39,95,145,65.5%
100113,203,2028,State-funded primary,886,418,468,47.2%,52.8%,25,2.8%,126,14.2%,477,398,11,53.8%,44.9%,1.2%,162,170,809,21.0%
100114,203,2071,State-funded primary,398,188,210,47.2%,52.8%,5,1.3%,80,20.1%,245,146,7,61.6%,36.7%,1.8%,141,148,371,39.9%
100115,203,2106,State-funded primary,226,92,134,40.7%,59.3%,14,6.2%,57,25.2%,110,112,4,48.7%,49.6%,1.8%,79,72,196,36.7%
100120,203,2174,State-funded primary,398,180,218,45.2%,54.8%,3,0.8%,62,15.6%,123,273,2,30.9%,68.6%,0.5%,174,168,364,46.2%
100125,203,2228,State-funded primary,319,159,160,49.8%,50.2%,9,2.8%,100,31.3%,146,173,0,45.8%,54.2%,0.0%,124,130,297,43.8%
100126,203,2242,State-funded primary,263,137,126,52.1%,47.9%,7,2.7%,32,12.2%,130,133,0,49.4%,50.6%,0.0%,91,95,243,39.1%
100127,203,2258,State-funded primary,436,231,205,53.0%,47.0%,14,3.2%,54,12.4%,105,330,1,24.1%,75.7%,0.2%,42,47,405,11.6%
100129,203,2271,State-funded primary,373,183,190,49.1%,50.9%,8,2.1%,69,18.5%,125,248,0,33.5%,66.5%,0.0%,138,138,341,40.5%
100131,203,2299,State-funded primary,386,184,202,47.7%,52.3%,9,2.3%,83,21.5%,103,283,0,26.7%,73.3%,0.0%,146,151,363,41.6%
100134,203,2325,State-funded primary,785,373,412,47.5%,52.5%,14,1.8%,121,15.4%,215,569,1,27.4%,72.5%,0.1%,193,196,744,26.3%
100136,203,2353,State-funded primary,400,204,196,51.0%,49.0%,19,4.8%,105,26.3%,105,295,0,26.3%,73.8%,0.0%,161,157,373,42.1%
100137,203,2410,State-funded primary,226,110,116,48.7%,51.3%,5,2.2%,57,25.2%,95,129,2,42.0%,57.1%,0.9%,38,37,205,18.0%
100140,203,2471,State-funded primary,957,465,492,48.6%,51.4%,19,2.0%,238,24.9%,217,733,7,22.7%,76.6%,0.7%,270,275,881,31.2%
100141,203,2552,State-funded primary,429,209,220,48.7%,51.3%,4,0.9%,53,12.4%,133,289,7,31.0%,67.4%,1.6%,63,72,392,18.4%
100142,203,2598,State-funded primary,202,109,93,54.0%,46.0%,6,3.0%,23,11.4%,72,130,0,35.6%,64.4%,0.0%,64,66,189,34.9%
100146,203,2662,State-funded primary,446,231,215,51.8%,48.2%,19,4.3%,36,8.1%,75,371,0,16.8%,83.2%,0.0%,87,90,410,22.0%
100149,203,2798,State-funded primary,438,230,208,52.5%,47.5%,9,2.1%,59,13.5%,67,371,0,15.3%,84.7%,0.0%,95,95,402,23.6%
100150,203,2801,State-funded primary,428,192,236,44.9%,55.1%,18,4.2%,120,28.0%,131,297,0,30.6%,69.4%,0.0%,173,177,405,43.7%
100152,203,2813,State-funded primary,365,193,172,52.9%,47.1%,9,2.5%,114,31.2%,115,248,2,31.5%,67.9%,0.5%,171,170,340,50.0%
100155,203,2877,State-funded primary,461,230,231,49.9%,50.1%,11,2.4%,78,16.9%,289,172,0,62.7%,37.3%,0.0%,158,164,401,40.9%
100158,203,2900,State-funded primary,775,364,411,47.0%,53.0%,6,0.8%,75,9.7%,493,276,6,63.6%,35.6%,0.8%,208,224,729,30.7%
100159,203,2901,State-funded primary,357,148,209,41.5%,58.5%,4,1.1%,70,19.6%,98,259,0,27.5%,72.5%,0.0%,165,167,331,50.5%
100162,203,2915,State-funded primary,222,122,100,55.0%,45.0%,7,3.2%,27,12.2%,85,136,1,38.3%,61.3%,0.5%,43,46,204,22.5%
100163,203,2916,State-funded primary,397,199,198,50.1%,49.9%,8,2.0%,66,16.6%,172,225,0,43.3%,56.7%,0.0%,95,103,338,30.5%
100164,203,2917,State-funded primary,432,215,217,49.8%,50.2%,14,3.2%,42,9.7%,114,318,0,26.4%,73.6%,0.0%,118,122,385,31.7%
100165,203,3322,State-funded primary,178,96,82,53.9%,46.1%,3,1.7%,28,15.7%,52,126,0,29.2%,70.8%,0.0%,73,74,178,41.6%
100166,203,3331,State-funded primary,209,104,105,49.8%,50.2%,7,3.3%,32,15.3%,35,174,0,16.7%,83.3%,0.0%,29,32,209,15.3%
100167,203,3338,State-funded primary,457,216,241,47.3%,52.7%,16,3.5%,83,18.2%,84,373,0,18.4%,81.6%,0.0%,50,53,421,12.6%
100168,203,3382,State-funded primary,415,199,216,48.0%,52.0%,10,2.4%,33,8.0%,93,322,0,22.4%,77.6%,0.0%,88,100,415,24.1%
100169,203,3481,State-funded primary,161,83,78,51.6%,48.4%,4,2.5%,25,15.5%,56,105,0,34.8%,65.2%,0.0%,75,80,161,49.7%
100170,203,3500,State-funded primary,297,148,149,49.8%,50.2%,6,2.0%,48,16.2%,85,212,0,28.6%,71.4%,0.0%,92,92,275,33.5%
100171,203,3526,State-funded secondary,1708,834,874,48.8%,51.2%,30,1.8%,257,15.0%,880,818,10,51.5%,47.9%,0.6%,681,687,1509,45.5%
100173,203,3561,State-funded primary,337,161,176,47.8%,52.2%,4,1.2%,43,12.8%,148,189,0,43.9%,56.1%,0.0%,84,87,306,28.4%
100174,203,3577,State-funded primary,217,126,91,58.1%,41.9%,5,2.3%,28,12.9%,62,155,0,28.6%,71.4%,0.0%,88,87,193,45.1%
100175,203,3585,State-funded primary,205,97,108,47.3%,52.7%,2,1.0%,19,9.3%,25,177,3,12.2%,86.3%,1.5%,47,50,205,24.4%
100176,203,3604,State-funded primary,184,88,96,47.8%,52.2%,1,0.5%,16,8.7%,36,148,0,19.6%,80.4%,0.0%,42,44,184,23.9%
100177,203,3632,State-funded primary,429,229,200,53.4%,46.6%,7,1.6%,37,8.6%,115,314,0,26.8%,73.2%,0.0%,116,122,387,31.5%
100178,203,3657,State-funded primary,152,74,78,48.7%,51.3%,4,2.6%,15,9.9%,92,60,0,60.5%,39.5%,0.0%,46,45,137,32.8%
100179,203,3662,State-funded primary,177,81,96,45.8%,54.2%,3,1.7%,20,11.3%,45,132,0,25.4%,74.6%,0.0%,67,73,177,41.2%
100180,203,3666,State-funded primary,197,96,101,48.7%,51.3%,2,1.0%,40,20.3%,112,85,0,56.9%,43.1%,0.0%,37,39,183,21.3%
100181,203,3668,State-funded primary,220,119,101,54.1%,45.9%,7,3.2%,28,12.7%,35,184,1,15.9%,83.6%,0.5%,54,58,191,30.4%
100182,203,4077,State-funded secondary,1227,1178,49,96.0%,4.0%,11,0.9%,174,14.2%,256,966,5,20.9%,78.7%,0.4%,245,246,976,25.2%
100183,203,4130,State-funded secondary,1494,905,589,60.6%,39.4%,45,3.0%,233,15.6%,848,646,0,56.8%,43.2%,0.0%,463,498,1206,41.3%
100190,203,4294,State-funded secondary,2110,1003,1107,47.5%,52.5%,119,5.6%,409,19.4%,364,1727,19,17.3%,81.8%,0.9%,420,417,1348,30.9%
100193,203,4682,State-funded secondary,631,631,0,100.0%,0.0%,6,1.0%,48,7.6%,105,511,15,16.6%,81.0%,2.4%,111,164,631,26.0%
100198,203,6065,Independent school,339,137,202,40.4%,59.6%,1,0.3%,36,10.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100199,203,6114,Independent school,384,199,185,51.8%,48.2%,0,0.0%,35,9.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100200,203,6169,Independent school,179,66,113,36.9%,63.1%,122,68.2%,10,5.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100201,203,6170,Independent school,212,100,112,47.2%,52.8%,2,0.9%,43,20.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100202,203,6293,Independent school,1280,563,717,44.0%,56.0%,6,0.5%,290,22.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100203,209,6294,Independent school,126,55,71,43.7%,56.3%,0,0.0%,2,1.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100204,203,7118,State-funded special school,40,0,40,0.0%,100.0%,40,100.0%,0,0.0%,1,39,0,2.5%,97.5%,0.0%,19,29,40,72.5%
100212,204,1008,State-funded nursery,91,43,48,47.3%,52.7%,3,3.3%,0,0.0%,39,52,0,42.9%,57.1%,0.0%,9,0,0,0.0%
100213,204,1051,State-funded nursery,121,60,61,49.6%,50.4%,3,2.5%,38,31.4%,74,47,0,61.2%,38.8%,0.0%,53,0,0,0.0%
100218,204,2048,State-funded primary,452,228,224,50.4%,49.6%,28,6.2%,66,14.6%,203,249,0,44.9%,55.1%,0.0%,205,201,398,50.5%
100221,204,2120,State-funded primary,134,66,68,49.3%,50.7%,10,7.5%,23,17.2%,43,89,2,32.1%,66.4%,1.5%,46,46,130,35.4%
100223,204,2150,State-funded primary,450,231,219,51.3%,48.7%,22,4.9%,54,12.0%,193,257,0,42.9%,57.1%,0.0%,177,179,424,42.2%
100224,204,2155,State-funded primary,127,77,50,60.6%,39.4%,10,7.9%,30,23.6%,53,74,0,41.7%,58.3%,0.0%,80,79,115,68.7%
100225,204,2238,State-funded primary,273,122,151,44.7%,55.3%,24,8.8%,41,15.0%,86,187,0,31.5%,68.5%,0.0%,122,100,184,54.3%
100229,204,2376,State-funded primary,398,167,231,42.0%,58.0%,8,2.0%,40,10.1%,68,330,0,17.1%,82.9%,0.0%,121,119,368,32.3%
100230,204,2388,State-funded primary,431,208,223,48.3%,51.7%,20,4.6%,80,18.6%,226,205,0,52.4%,47.6%,0.0%,125,119,401,29.7%
100231,204,2421,State-funded primary,658,326,332,49.5%,50.5%,36,5.5%,74,11.2%,119,539,0,18.1%,81.9%,0.0%,150,148,608,24.3%
100232,204,2431,State-funded primary,455,222,233,48.8%,51.2%,24,5.3%,122,26.8%,275,180,0,60.4%,39.6%,0.0%,215,212,378,56.1%
100234,204,2450,State-funded primary,628,316,312,50.3%,49.7%,16,2.5%,125,19.9%,320,307,1,51.0%,48.9%,0.2%,324,316,583,54.2%
100235,204,2487,State-funded primary,420,208,212,49.5%,50.5%,38,9.0%,78,18.6%,214,206,0,51.0%,49.0%,0.0%,155,154,390,39.5%
100236,204,2489,State-funded primary,264,133,131,50.4%,49.6%,14,5.3%,49,18.6%,202,62,0,76.5%,23.5%,0.0%,126,123,242,50.8%
100239,204,2532,State-funded primary,221,121,100,54.8%,45.2%,10,4.5%,21,9.5%,147,74,0,66.5%,33.5%,0.0%,93,93,198,47.0%
100240,204,2539,State-funded primary,412,202,210,49.0%,51.0%,10,2.4%,58,14.1%,204,208,0,49.5%,50.5%,0.0%,171,170,371,45.8%
100241,204,2545,State-funded primary,471,231,240,49.0%,51.0%,14,3.0%,56,11.9%,188,283,0,39.9%,60.1%,0.0%,132,127,415,30.6%
100242,204,2564,State-funded primary,370,177,193,47.8%,52.2%,9,2.4%,78,21.1%,209,161,0,56.5%,43.5%,0.0%,162,159,339,46.9%
100243,204,2592,State-funded primary,206,95,111,46.1%,53.9%,13,6.3%,54,26.2%,123,83,0,59.7%,40.3%,0.0%,118,108,184,58.7%
100244,204,2615,State-funded primary,290,153,137,52.8%,47.2%,26,9.0%,71,24.5%,150,140,0,51.7%,48.3%,0.0%,139,141,273,51.6%
100245,204,2636,State-funded primary,418,206,212,49.3%,50.7%,50,12.0%,56,13.4%,120,298,0,28.7%,71.3%,0.0%,205,200,387,51.7%
100248,204,2654,State-funded primary,667,320,347,48.0%,52.0%,34,5.1%,73,10.9%,406,261,0,60.9%,39.1%,0.0%,332,316,586,53.9%
100250,204,2779,State-funded primary,225,123,102,54.7%,45.3%,12,5.3%,37,16.4%,142,83,0,63.1%,36.9%,0.0%,116,118,202,58.4%
100251,204,2795,State-funded primary,226,100,126,44.2%,55.8%,17,7.5%,55,24.3%,120,106,0,53.1%,46.9%,0.0%,101,99,213,46.5%
100252,204,2856,State-funded primary,206,83,123,40.3%,59.7%,8,3.9%,20,9.7%,75,131,0,36.4%,63.6%,0.0%,36,34,187,18.2%
100253,204,2859,State-funded primary,426,218,208,51.2%,48.8%,18,4.2%,53,12.4%,165,260,1,38.7%,61.0%,0.2%,99,100,394,25.4%
100254,204,2860,State-funded primary,221,104,117,47.1%,52.9%,24,10.9%,36,16.3%,110,111,0,49.8%,50.2%,0.0%,95,89,199,44.7%
100255,204,2861,State-funded primary,172,81,91,47.1%,52.9%,8,4.7%,22,12.8%,67,105,0,39.0%,61.0%,0.0%,85,84,162,51.9%
100256,204,2862,State-funded primary,191,101,90,52.9%,47.1%,9,4.7%,33,17.3%,103,88,0,53.9%,46.1%,0.0%,72,76,176,43.2%
100257,204,2863,State-funded primary,212,98,114,46.2%,53.8%,11,5.2%,28,13.2%,159,52,1,75.0%,24.5%,0.5%,75,71,195,36.4%
100258,204,2864,State-funded primary,467,226,241,48.4%,51.6%,15,3.2%,51,10.9%,92,375,0,19.7%,80.3%,0.0%,101,100,410,24.4%
100259,204,2865,State-funded primary,210,104,106,49.5%,50.5%,8,3.8%,17,8.1%,115,95,0,54.8%,45.2%,0.0%,79,77,187,41.2%
100260,204,2872,State-funded primary,296,150,146,50.7%,49.3%,7,2.4%,73,24.7%,166,130,0,56.1%,43.9%,0.0%,131,122,261,46.7%
100261,204,2896,State-funded primary,261,126,135,48.3%,51.7%,9,3.4%,52,19.9%,158,103,0,60.5%,39.5%,0.0%,153,140,222,63.1%
100263,204,3358,State-funded primary,270,129,141,47.8%,52.2%,14,5.2%,43,15.9%,86,184,0,31.9%,68.1%,0.0%,117,106,217,48.8%
100264,204,3371,State-funded primary,195,91,104,46.7%,53.3%,6,3.1%,23,11.8%,40,153,2,20.5%,78.5%,1.0%,42,45,195,23.1%
100266,204,3458,State-funded primary,307,158,149,51.5%,48.5%,23,7.5%,49,16.0%,138,169,0,45.0%,55.0%,0.0%,161,158,278,56.8%
100267,204,3543,State-funded primary,163,81,82,49.7%,50.3%,6,3.7%,37,22.7%,68,95,0,41.7%,58.3%,0.0%,90,95,151,62.9%
100268,204,3553,State-funded primary,217,105,112,48.4%,51.6%,5,2.3%,20,9.2%,168,49,0,77.4%,22.6%,0.0%,106,93,189,49.2%
100269,204,3572,State-funded primary,196,109,87,55.6%,44.4%,6,3.1%,44,22.4%,45,151,0,23.0%,77.0%,0.0%,107,99,167,59.3%
100270,204,3616,State-funded primary,132,71,61,53.8%,46.2%,6,4.5%,48,36.4%,36,96,0,27.3%,72.7%,0.0%,73,70,121,57.9%
100271,204,3618,State-funded primary,135,70,65,51.9%,48.1%,5,3.7%,24,17.8%,47,88,0,34.8%,65.2%,0.0%,67,67,126,53.2%
100274,204,3659,State-funded primary,207,100,107,48.3%,51.7%,13,6.3%,40,19.3%,126,80,1,60.9%,38.6%,0.5%,142,127,180,70.6%
100275,204,3663,State-funded primary,112,57,55,50.9%,49.1%,7,6.3%,29,25.9%,55,57,0,49.1%,50.9%,0.0%,24,26,102,25.5%
100277,204,4283,State-funded secondary,1053,491,562,46.6%,53.4%,42,4.0%,205,19.5%,341,712,0,32.4%,67.6%,0.0%,464,463,937,49.4%
